,imdb_id,title,mpaa_rating,runtime,genre,star_rating
0,tt6751668,Parasite,R,132 min,"Comedy, Drama, Thriller",8.6
1,tt8946378,Knives Out,PG-13,131 min,"Comedy, Crime, Drama",8.0
2,tt2584384,Jojo Rabbit,PG-13,108 min,"Comedy, Drama, War",8.0
3,tt8579674,1917,R,119 min,"Drama, War",8.4
4,tt8367814,The Gentlemen,R,113 min,"Action, Comedy, Crime",8.1
5,tt5727208,Uncut Gems,R,135 min,"Crime, Drama, Thriller",7.6
6,tt7131622,Once Upon a Time... in Hollywood,R,161 min,"Comedy, Drama",7.7
7,tt7286456,Joker,R,122 min,"Crime, Drama, Thriller",8.6
8,tt1950186,Ford v Ferrari,PG-13,152 min,"Action, Biography, Drama",8.2
9,tt7975244,Jumanji: The Next Level,PG-13,123 min,"Action, Adventure, Comedy",6.8
10,tt6924650,Midway,PG-13,138 min,"Action, Drama, History",6.7
11,tt6394270,Bombshell,R,109 min,"Biography, Drama",6.8
12,tt8772262,Midsommar,R,148 min,"Drama, Horror, Mystery",7.1
13,tt4520988,Frozen II,PG,103 min,"Animation, Adventure, Comedy",7.1
14,tt6902676,Guns Akimbo,R,95 min,"Action, Comedy",6.6
15,tt3281548,Little Women,PG,135 min,"Drama, Romance",8.0
16,tt5606664,Doctor Sleep,R,152 min,"Drama, Fantasy, Horror",7.4
17,tt9026184,Girl on the Third Floor,NaN,93 min,"Drama, Horror, Mystery",4.7
18,tt9071322,Dark Waters,PG-13,126 min,"Biography, Drama, History",7.6
19,tt5033998,Charlie's Angels,PG-13,118 min,"Action, Adventure, Comedy",4.4
20,tt7984734,The Lighthouse,R,109 min,"Drama, Fantasy, Horror",7.7
21,tt1302006,The Irishman,R,209 min,"Biography, Crime, Drama",8.0
22,tt8613070,Portrait of a Lady on Fire,R,122 min,"Drama, Romance",8.2
23,tt5073642,Color Out of Space,Unrated,111 min,"Horror, Sci-Fi",6.2
24,tt3224458,A Beautiful Day in the Neighborhood,PG,109 min,"Biography, Drama",7.4
25,tt6644200,A Quiet Place,PG-13,90 min,"Drama, Horror, Sci-Fi",7.5
26,tt6450804,Terminator: Dark Fate,R,128 min,"Action, Adventure, Sci-Fi",6.3
27,tt4154796,Avengers: Endgame,PG-13,181 min,"Action, Adventure, Drama",8.5
28,tt7653254,Marriage Story,R,137 min,"Comedy, Drama, Romance",8.0
29,tt2527338,Star Wars: Episode IX - The Rise of Skywalker,PG-13,142 min,"Action, Adventure, Fantasy",6.8
30,tt1598778,Contagion,PG-13,106 min,"Action, Drama, Sci-Fi",6.6
31,tt1979376,Toy Story 4,G,100 min,"Animation, Adventure, Comedy",7.8
32,tt6105098,The Lion King,PG,118 min,"Animation, Adventure, Drama",6.9
33,tt1706620,Snowpiercer,R,126 min,"Action, Drama, Sci-Fi",7.1
34,tt2066051,Rocketman,R,121 min,"Biography, Drama, Music",7.3
35,tt8688634,21 Bridges,R,99 min,"Action, Crime, Drama",6.6
36,tt5814534,Spies in Disguise,PG,102 min,"Animation, Action, Adventure",6.8
37,tt5503686,Hustlers,R,110 min,"Comedy, Crime, Drama",6.3
38,tt8106534,6 Underground,R,128 min,"Action, Adventure, Comedy",6.1
39,tt0437086,Alita: Battle Angel,PG-13,122 min,"Action, Adventure, Sci-Fi",7.3
40,tt7347846,The Lodge,R,108 min,"Drama, Horror, Thriller",6.6
41,tt1856101,Blade Runner 2049,R,164 min,"Action, Drama, Mystery",8.0
42,tt4126476,After,PG-13,105 min,"Drama, Romance",5.4
43,tt8722346,Queen & Slim,R,132 min,"Crime, Drama, Romance",7.0
44,tt8856470,Pokémon: Mewtwo Strikes Back - Evolution,TV-Y7,98 min,"Animation, Action, Family",5.9
45,tt1560220,Zombieland: Double Tap,R,99 min,"Action, Comedy, Horror",6.8
46,tt4846340,Hidden Figures,PG,127 min,"Biography, Drama, History",7.8
47,tt8130904,The Body,NaN,101 min,"Mystery, Thriller",5.5
48,tt2935510,Ad Astra,PG-13,123 min,"Adventure, Drama, Mystery",6.6
49,tt2091935,Mr. Right,R,95 min,"Action, Comedy, Romance",6.3
50,tt8151874,Honey Boy,R,94 min,Drama,7.4
51,tt1386697,Suicide Squad,PG-13,123 min,"Action, Adventure, Fantasy",6.0
52,tt4777008,Maleficent: Mistress of Evil,PG,119 min,"Adventure, Family, Fantasy",6.7
53,tt2283362,Jumanji: Welcome to the Jungle,PG-13,119 min,"Action, Adventure, Comedy",6.9
54,tt6513120,Fighting with My Family,PG-13,108 min,"Biography, Comedy, Drama",7.1
55,tt1396484,It,R,135 min,Horror,7.3
56,tt7349950,It Chapter Two,R,169 min,"Drama, Fantasy, Horror",6.6
57,tt6139732,Aladdin,PG,128 min,"Adventure, Family, Fantasy",7.0
58,tt7549996,Judy,PG-13,118 min,"Biography, Drama, Romance",6.9
59,tt8972256,Greed,R,104 min,"Comedy, Drama",5.9
60,tt5974030,The Jesus Rolls,R,85 min,"Comedy, Crime, Drama",4.3
61,tt1025100,Gemini Man,PG-13,117 min,"Action, Drama, Sci-Fi",5.7
62,tt6445414,The Coldest Game,NaN,102 min,Thriller,6.3
63,tt6857112,Us,R,116 min,"Horror, Mystery, Thriller",6.9
64,tt1375666,Inception,PG-13,148 min,"Action, Adventure, Sci-Fi",8.8
65,tt0816692,Interstellar,PG-13,169 min,"Adventure, Drama, Sci-Fi",8.6
66,tt5726616,Call Me by Your Name,R,132 min,"Drama, Romance",7.9
67,tt4916630,Just Mercy,PG-13,137 min,Drama,7.5
68,tt6966692,Green Book,PG-13,130 min,"Biography, Comedy, Drama",8.2
69,tt0993846,The Wolf of Wall Street,R,180 min,"Biography, Crime, Drama",8.2
70,tt6146586,John Wick: Chapter 3 - Parabellum,R,131 min,"Action, Crime, Thriller",7.5
71,tt5697572,Cats,PG,110 min,"Comedy, Drama, Family",2.8
72,tt1615160,The Foreigner,R,113 min,"Action, Thriller",7.0
73,tt7798634,Ready or Not,R,95 min,"Comedy, Horror, Mystery",6.8
74,tt1489887,Booksmart,R,102 min,Comedy,7.2
75,tt0974015,Justice League,PG-13,120 min,"Action, Adventure, Fantasy",6.4
76,tt6320628,Spider-Man: Far from Home,PG-13,129 min,"Action, Adventure, Sci-Fi",7.5
77,tt3846674,To All the Boys I've Loved Before,TV-14,99 min,"Drama, Romance",7.2
78,tt3741700,Godzilla: King of the Monsters,PG-13,132 min,"Action, Adventure, Fantasy",6.1
79,tt3513548,Richard Jewell,R,131 min,"Biography, Crime, Drama",7.5
80,tt5013056,Dunkirk,PG-13,106 min,"Action, Drama, History",7.9
81,tt0385887,Motherless Brooklyn,R,144 min,"Crime, Drama, Mystery",6.8
82,tt4846232,Good Time,R,101 min,"Crime, Drama, Thriller",7.3
83,tt11107074,My Hero Academia: Heroes Rising,PG-13,104 min,"Animation, Action, Adventure",8.1
84,tt2267998,Gone Girl,R,149 min,"Drama, Mystery, Thriller",8.1
85,tt8504014,Good Newwz,Not Rated,134 min,"Comedy, Drama",7.3
86,tt7784604,Hereditary,R,127 min,"Drama, Horror, Mystery",7.3
87,tt7456310,Anna,R,119 min,"Action, Thriller",6.6
88,tt3470600,Sing,PG,108 min,"Animation, Comedy, Family",7.1
89,tt2404435,The Magnificent Seven,PG-13,132 min,"Action, Adventure, Western",6.9
90,tt3967856,Okja,TV-MA,120 min,"Action, Adventure, Drama",7.3
91,tt6806448,Fast & Furious Presents: Hobbs & Shaw,PG-13,137 min,"Action, Adventure",6.5
92,tt7984766,The King,R,140 min,"Biography, Drama, History",7.3
93,tt4648786,Harriet,PG-13,125 min,"Action, Biography, Drama",6.3
94,tt3882082,The Boy,PG-13,97 min,"Horror, Mystery, Thriller",6.0
95,tt2283336,Men in Black: International,PG-13,114 min,"Action, Adventure, Comedy",5.6
96,tt8404614,The Two Popes,PG-13,125 min,"Comedy, Drama",7.6
97,tt0448115,Shazam!,PG-13,132 min,"Action, Adventure, Comedy",7.1
98,tt8359816,Sorry We Missed You,NaN,101 min,Drama,7.7
99,tt1677720,Ready Player One,PG-13,140 min,"Action, Adventure, Sci-Fi",7.5
100,tt1477834,Aquaman,PG-13,143 min,"Action, Adventure, Fantasy",7.0
101,tt4364194,The Peanut Butter Falcon,PG-13,97 min,"Adventure, Comedy, Drama",7.7
102,tt5052448,Get Out,R,104 min,"Horror, Mystery, Thriller",7.7
103,tt4925292,Lady Bird,R,94 min,"Comedy, Drama",7.4
104,tt8350360,Annabelle Comes Home,R,106 min,"Horror, Mystery, Thriller",5.9
105,tt2015381,Guardians of the Galaxy,PG-13,121 min,"Action, Adventure, Comedy",8.0
106,tt1727824,Bohemian Rhapsody,PG-13,134 min,"Biography, Drama, Music",8.0
107,tt4912910,Mission: Impossible - Fallout,PG-13,147 min,"Action, Adventure, Thriller",7.8
108,tt3774694,Love,Not Rated,135 min,"Drama, Romance",6.1
109,tt6095472,The Angry Birds Movie 2,PG,97 min,"Animation, Adventure, Comedy",6.4
110,tt7752126,Brightburn,R,90 min,"Drama, Horror, Mystery",6.1
111,tt3501632,Thor: Ragnarok,PG-13,130 min,"Action, Adventure, Comedy",7.9
112,tt4154756,Avengers: Infinity War,PG-13,149 min,"Action, Adventure, Sci-Fi",8.5
113,tt2379713,Spectre,PG-13,148 min,"Action, Adventure, Thriller",6.8
114,tt7958736,Ma,R,99 min,"Horror, Mystery, Thriller",5.6
115,tt1259521,The Cabin in the Woods,R,95 min,Horror,7.0
116,tt6499752,Upgrade,R,100 min,"Action, Horror, Sci-Fi",7.5
